1,0,0.016090408
1,1,0.85056996
1,2,0.47272292
1,3,0.92015994
1,4,0.37428147
1,5,0.71924305
1,6,0.6435015
1,7,0.94172204
1,8,0.8559191
1,9,0.8777104
1,10,0.8591153
1,11,0.85423875
1,12,0.4550522
1,13,0.7838
1,14,0.19480275
1,15,0.7114708
1,16,0.59421265
1,17,0.113635115
1,18,0.09052469
1,19,0.33200428
1,20,0.781758
1,21,0.0164827
1,22,0.4587908
1,23,0.09342303
1,24,0.018913338
1,25,0.31901568
1,26,0.98147035
1,27,0.3711622
1,28,0.28161648
1,29,0.08050935
2,0,0.6457896
2,1,0.40881622
2,2,0.8290282
2,3,0.21006201
2,4,0.5745996
2,5,0.4193705
2,6,0.92357683
2,7,0.82275
2,8,0.11713167
2,9,0.8857713
2,10,0.78666425
2,11,0.6336979
2,12,0.9838399
2,13,0.3544426
2,14,0.25966844
2,15,0.9673654
2,16,0.93256444
2,17,0.49680644
2,18,0.6916353
2,19,0.89392084
2,20,0.14312948
2,21,0.85155493
2,22,0.033060674
2,23,0.5953954
2,24,0.95362574
2,25,0.4543714
2,26,0.97942036
2,27,0.31137696
2,28,0.07400764
2,29,0.5119902
3,0,0.27861547
3,1,0.11732865
3,2,0.7412694
3,3,0.3839322
3,4,0.9932556
3,5,0.3481828
3,6,0.53534675
3,7,0.3979471
3,8,0.5917138
3,9,0.6956841
